ticker,ts,action,side,count,yes_price,actual_price,cost_or_proceeds,fee_cost
KXHIGHPHIL-26FEB25-B48.5,1771991002,buy,no,2,30,70,140,3.0
KXHIGHTDC-26FEB25-B55.5,1771990983,buy,no,6,32,68,408,10.0
KXHIGHTPHX-26FEB25-B89.5,1771988790,buy,no,4,32,68,272,7.000000000000001
KXHIGHTSATX-26FEB25-T85,1771979084,buy,yes,19,5,5,95,7.000000000000001
KXHIGHTOKC-26FEB25-T73,1771979053,buy,yes,5,17,17,85,5.0
KXHIGHTLV-26FEB25-B80.5,1771977907,buy,no,4,26,74,296,6.0
KXHIGHTDAL-26FEB25-T80,1771955089,buy,yes,12,7,7,84,6.0
KXHIGHPHIL-26FEB25-T44,1771946652,buy,yes,5,2,2,10,1.0
KXHIGHTDC-26FEB25-T58,1771946623,buy,yes,10,8,8,80,6.0
KXHIGHDEN-26FEB25-T65,1771946579,buy,yes,10,8,8,80,6.0
KXHIGHNY-26FEB25-T39,1771946536,buy,yes,13,6,6,78,6.0
KXHIGHPHIL-26FEB24-B37.5,1771923882,buy,no,2,25,75,150,3.0
KXHIGHTDC-26FEB24-B43.5,1771918983,buy,no,1,23,77,77,2.0
KXHIGHPHIL-26FEB24-B37.5,1771909420,buy,no,1,30,70,70,2.0
KXHIGHTOKC-26FEB24-B72.5,1771905710,buy,no,3,33,67,201,5.0
KXHIGHTLV-26FEB24-T71,1771902750,buy,yes,122,2,2,244,0.0
KXHIGHTLV-26FEB24-B71.5,1771897907,buy,yes,1,5,5,5,0.0
KXHIGHTBOS-26FEB24-T30,1771893837,buy,yes,2,33,33,66,4.0
KXHIGHTMIN-26FEB23-T18,1771874198,buy,yes,32,3,3,96,0.0
KXHIGHTMIN-26FEB23-T18,1771874166,buy,yes,1,3,3,3,0.0
KXHIGHTMIN-26FEB23-T18,1771873896,buy,yes,10,3,3,30,0.0
KXHIGHTMIN-26FEB23-T18,1771873850,buy,yes,1,3,3,3,0.0
KXHIGHTMIN-26FEB23-T18,1771873612,buy,yes,1,3,3,3,0.0
KXHIGHTMIN-26FEB23-T18,1771873588,buy,yes,1,3,3,3,0.0
