ticker,ts,yes_count,no_count,revenue,market_result
KXHIGHTDC-26FEB24-B43.5,2026-03-03T16:51:36.724122Z,1,1,0,scalar
KXHIGHNY-26FEB25-T39,2026-02-26T13:01:57.176471Z,13,12,0,no
KXHIGHTDAL-26FEB25-T80,2026-02-26T12:32:27.174003Z,12,12,0,no
KXHIGHTSATX-26FEB25-T85,2026-02-26T12:32:27.141619Z,19,0,0,no
KXHIGHTOKC-26FEB25-T73,2026-02-26T12:32:27.134761Z,5,0,0,no
KXHIGHTPHX-26FEB25-B89.5,2026-02-26T12:32:27.117534Z,0,4,400,no
KXHIGHTLV-26FEB25-B80.5,2026-02-26T12:32:17.145883Z,0,4,400,no
KXHIGHTDC-26FEB25-T58,2026-02-26T12:32:17.122039Z,10,10,0,no
KXHIGHTDC-26FEB25-B55.5,2026-02-26T12:32:17.121976Z,0,6,0,yes
KXHIGHDEN-26FEB25-T65,2026-02-26T12:06:57.133712Z,10,2,0,no
KXHIGHPHIL-26FEB25-T44,2026-02-26T12:06:57.119019Z,5,5,0,no
KXHIGHPHIL-26FEB25-B48.5,2026-02-26T12:06:57.118939Z,0,2,200,no
KXHIGHTSEA-26FEB24-T44,2026-02-25T16:32:35.316793Z,25,0,0,no
KXHIGHCHI-26FEB24-B40.5,2026-02-25T13:01:55.413434Z,5,5,0,yes
KXHIGHAUS-26FEB24-B75.5,2026-02-25T13:01:55.38585Z,4,4,0,yes
KXHIGHTHOU-26FEB24-B71.5,2026-02-25T12:32:55.29718Z,7,7,0,no
KXHIGHTOKC-26FEB24-T68,2026-02-25T12:32:55.286118Z,32,32,0,no
KXHIGHTOKC-26FEB24-B72.5,2026-02-25T12:32:55.286118Z,3,3,0,yes
KXHIGHTDAL-26FEB24-B74.5,2026-02-25T12:32:45.394039Z,4,5,100,no
KXHIGHTBOS-26FEB24-T30,2026-02-25T12:32:45.353739Z,2,0,0,no
KXHIGHTSATX-26FEB24-B75.5,2026-02-25T12:32:45.33336Z,6,6,0,yes
KXHIGHTSATX-26FEB24-B79.5,2026-02-25T12:32:45.33331Z,0,2,200,no
KXHIGHTMIN-26FEB24-T35,2026-02-25T12:32:35.388978Z,1,1,0,no
KXHIGHTATL-26FEB24-B55.5,2026-02-25T12:32:35.362496Z,4,5,100,no
KXHIGHTLV-26FEB24-B71.5,2026-02-25T12:32:35.344229Z,1,1,0,yes
KXHIGHTLV-26FEB24-T71,2026-02-25T12:32:35.344142Z,123,1,0,no
KXHIGHTLV-26FEB24-B75.5,2026-02-25T12:32:35.344142Z,2,3,100,no
KXHIGHTNOLA-26FEB24-T60,2026-02-25T12:32:25.280769Z,1,1,0,no
KXHIGHTNOLA-26FEB24-B64.5,2026-02-25T12:32:25.280769Z,0,0,0,no
KXHIGHTNOLA-26FEB24-B62.5,2026-02-25T12:32:25.280769Z,4,4,0,no
KXHIGHPHIL-26FEB24-B37.5,2026-02-25T12:06:55.358263Z,2,3,100,no
KXHIGHDEN-26FEB24-B70.5,2026-02-25T12:06:55.341961Z,0,2,0,yes
KXHIGHTSFO-26FEB23-T67,2026-02-24T15:36:56.705877Z,31,31,0,no
KXHIGHTSFO-26FEB23-T60,2026-02-24T15:36:56.705877Z,5,5,0,no
KXHIGHTSFO-26FEB23-B64.5,2026-02-24T15:36:56.705815Z,7,8,100,no
KXHIGHTOKC-26FEB23-T53,2026-02-24T15:32:56.716893Z,1019,1019,0,no
KXHIGHTOKC-26FEB23-B55.5,2026-02-24T15:32:56.716893Z,2,2,0,yes
KXHIGHTOKC-26FEB23-B57.5,2026-02-24T15:32:56.716863Z,0,6,600,no
KXHIGHTPHX-26FEB23-T83,2026-02-24T15:32:56.705025Z,76,75,0,no
KXHIGHTPHX-26FEB23-B85.5,2026-02-24T15:32:56.705025Z,5,6,0,yes
KXHIGHTNOLA-26FEB23-T60,2026-02-24T15:32:26.701288Z,0,0,0,no
KXHIGHTNOLA-26FEB23-B57.5,2026-02-24T15:32:26.701288Z,8,8,0,yes
KXHIGHTNOLA-26FEB23-T53,2026-02-24T15:32:26.701259Z,62,44,0,no
